"platform","rank","name","followers","engagement_rate","country","topic_of_influence","potential_reach"
instagram,50,Madison Beer,38000000,"0.03",United States,Entertainment and Music Music Singer Actors,38000000
youtube,68,XXXTENTACION,37800000,"0.1",United States,Unknown,11300000
instagram,51,Becky G,37800000,"0.99",United States,Beauty and Self Care Music Musician,37800000
youtube,72,Daddy Yankee,37000000,"0",United States,Music,11100000
tiktok,9,Barstool Sports,36900000,"0.1",United States,Entertainment and Music Sports,11100000
instagram,52,Olivia Rodrigo,36800000,"0.05",United States,Entertainment and Music Modeling Music Musician,36800000
instagram,54,Barack Obama,36500000,"0.39",United States,Politics Public Figure,36500000
instagram,53,Shay Mitchell,36500000,"0.28",United States,Celebrity Modeling Actor Creators & Celebrities,36500000
tiktok,10,James Charles,36200000,"0",United States,Beauty and Self Care Arts and Crafts,10900000
instagram,55,Addison Rae,36000000,"1.06",United States,Beauty and Self Care Public Figure Creators & Celebrities,36000000
instagram,57,Ciara,35400000,"0.97",United States,Beauty and Self Care Entertainment and Music Business and Finance Celebrity,35400000
instagram,56,Nick Jonas,35400000,"1.06",United States,Entertainment and Music Food Product Showcase Artist,35400000
youtube,80,Masha and The Bear,35100000,"0",United States,Unknown,10500000
youtube,79,YouTube.com,35100000,"0",United States,Unknown,10500000
tiktok,11,Kevin Hart,34800000,"1.7",United States,Entertainment and Music,10400000
instagram,58,DR. SHAQUILLE O'NEAL Ed.D.,33700000,"0.12",United States,Sports Celebrity Music Film Director,33700000
youtube,89,Markiplier,33500000,"0.4",United States,Unknown,10100000
instagram,59,Cole Sprouse,32700000,"0.31",United States,Entertainment and Music Actors Day Care,32700000
instagram,60,Niall Horan,32700000,"1.42",United States,Band Photography Music,32700000
instagram,61,Dan Bilzerian,32600000,"5.69",United States,Entertainment and Music Actors,32600000
instagram,62,Jason Derulo,32300000,"1.1",United States,Entertainment and Music Singer,32300000
instagram,63,Bruno Mars,32200000,"5.38",United States,Entertainment and Music Music Singer Actors,32200000
instagram,64,AGNEZ MO,32100000,"0.15",United States,Entertainment and Music Music Modeling Singer,32100000
tiktok,12,Devon Rodriguez,32100000,"0.2",United States,Arts and Crafts Education Upskilling,9600000
instagram,65,Anne Hathaway,32100000,"1.33",United States,Entertainment and Music Celebrity Actors Music,32100000
instagram,66,Megan Thee Stallion,32000000,"0.06",United States,Entertainment and Music Music Entertainment Singer,32000000
tiktok,13,Brooke Monk,31700000,"2.1",United States,Entertainment and Music Funny,9500000
tiktok,14,Lele Pons,31500000,"0.9",United States,Entertainment and Music,9500000
instagram,67,"50 Cent",31300000,"0.15",United States,Entertainment and Music Entertainment Singer Music,31300000
tiktok,15,Stokes Twins,31200000,"0",United States,Entertainment and Music,9400000
instagram,68,Ice Cube,30900000,"0.11",United States,Entertainment and Music Singer Rap,30900000
instagram,69,hakki akdeniz,30500000,"0",United States,Parenting Music Entrepreneur,30500000
tiktok,16,Liza Koshy,30200000,"0",United States,Entertainment and Music,9100000
instagram,70,Reese Witherspoon,30200000,"0.68",United States,Entertainment and Music Actors Artist,30200000
instagram,71,Emily Ratajkowski,30000000,"1.37",United States,Fashion and Accessories Beauty and Self Care Entertainment and Music Creators & Celebrities,30000000
instagram,72,Floyd Mayweather,29600000,"0.2",United States,Sports Boxing,29600000
instagram,73,Scott Disick,29400000,"0.35",United States,Fashion and Accessories Product Showcase Entrepreneur,29400000
instagram,74,Zach King,29400000,"2.3",United States,Entertainment and Music Arts and Crafts Animation and Cosplay Celebrity,29400000
tiktok,17,Topper Guild,29000000,"0",United States,Entertainment and Music Celebrity,8700000
instagram,75,Johnny Depp,28800000,"4.01",United States,Entertainment and Music Celebrity,28800000
